-1.00	2	5.261802e+02	2.674023e+03	-9.271056e-01	5.511291e-01
-0.90	2	4.435299e+02	2.263254e+03	-9.048150e-01	6.955381e-01
-0.80	2	3.703963e+02	1.772706e+03	-8.731824e-01	8.812809e-01
-0.70	2	3.106859e+02	1.432251e+03	-8.280034e-01	1.225649e+00
-0.60	2	2.651588e+02	1.174745e+03	-7.704225e-01	1.635912e+00
-0.50	2	2.290602e+02	9.060008e+02	-6.966959e-01	1.985329e+00
-0.40	2	2.004039e+02	7.302835e+02	-5.974240e-01	2.517399e+00
-0.30	2	1.796690e+02	5.899379e+02	-4.763450e-01	2.915898e+00
-0.20	2	1.653374e+02	4.826327e+02	-3.393043e-01	3.606860e+00
-0.10	2	1.568962e+02	4.157686e+02	-1.668418e-01	3.923689e+00
0.00	2	1.540401e+02	3.678436e+02	-7.261218e-03	3.970860e+00
0.10	2	1.570892e+02	3.919925e+02	1.759137e-01	3.749320e+00
0.20	2	1.657861e+02	4.800923e+02	3.335273e-01	3.535028e+00
0.30	2	1.783922e+02	5.754224e+02	4.709750e-01	2.903856e+00
0.40	2	2.009884e+02	7.293966e+02	5.975440e-01	2.531169e+00
0.50	2	2.273757e+02	9.403609e+02	6.919908e-01	2.033090e+00
0.60	2	2.631752e+02	1.145699e+03	7.684604e-01	1.609870e+00
0.70	2	3.111937e+02	1.499988e+03	8.274735e-01	1.271162e+00
0.80	2	3.691573e+02	1.744748e+03	8.712944e-01	9.320800e-01
0.90	2	4.404071e+02	2.120833e+03	9.041650e-01	6.619771e-01
1.00	2	5.298477e+02	2.677391e+03	9.280939e-01	5.334557e-01
-1.00	3	5.111947e+03	4.235213e+04	-9.879436e-01	1.334966e-01
-0.90	3	3.787907e+03	3.058833e+04	-9.815409e-01	2.270228e-01
-0.80	3	2.761878e+03	2.249833e+04	-9.706625e-01	3.545015e-01
-0.70	3	2.127997e+03	1.770494e+04	-9.544990e-01	5.714497e-01
-0.60	3	1.592539e+03	1.260647e+04	-9.251650e-01	8.939792e-01
-0.50	3	1.209526e+03	9.232655e+03	-8.777712e-01	1.598751e+00
-0.40	3	9.335542e+02	6.933812e+03	-7.956953e-01	2.349934e+00
-0.30	3	7.573176e+02	5.116944e+03	-6.804139e-01	3.403760e+00
-0.20	3	6.264829e+02	3.710007e+03	-5.072510e-01	4.519381e+00
-0.10	3	5.559176e+02	3.027296e+03	-2.685468e-01	5.544092e+00
0.00	3	5.302026e+02	2.726277e+03	7.762704e-03	5.813856e+00
0.10	3	5.489666e+02	3.109301e+03	2.626753e-01	5.648599e+00
0.20	3	6.213371e+02	3.706280e+03	5.043859e-01	4.644324e+00
0.30	3	7.608244e+02	5.159101e+03	6.792334e-01	3.426615e+00
0.40	3	9.304098e+02	6.641257e+03	7.964589e-01	2.307176e+00
0.50	3	1.186183e+03	9.593811e+03	8.733615e-01	1.610946e+00
0.60	3	1.605815e+03	1.259781e+04	9.261415e-01	8.893671e-01
0.70	3	2.112532e+03	1.619329e+04	9.545512e-01	5.222713e-01
0.80	3	2.803571e+03	2.269646e+04	9.711677e-01	3.408564e-01
0.90	3	3.799781e+03	3.261075e+04	9.816594e-01	2.262416e-01
1.00	3	5.120144e+03	4.273045e+04	9.877901e-01	1.535213e-01
-1.00	4	1.907693e+04	2.260366e+05	-9.902119e-01	8.852345e-01
-0.90	4	1.277302e+04	1.532825e+05	-9.872422e-01	6.871682e-01
-0.80	4	8.546043e+03	9.992128e+04	-9.817098e-01	7.718103e-01
-0.70	4	5.713408e+03	7.173536e+04	-9.687103e-01	1.939753e+00
-0.60	4	3.960525e+03	4.588252e+04	-9.566876e-01	1.286352e+00
-0.50	4	2.685912e+03	3.052923e+04	-9.239973e-01	2.122516e+00
-0.40	4	1.839803e+03	2.062316e+04	-8.670210e-01	2.635131e+00
-0.30	4	1.308762e+03	1.393462e+04	-7.641554e-01	3.850347e+00
-0.20	4	9.970866e+02	9.326638e+03	-5.944552e-01	5.468236e+00
-0.10	4	8.089168e+02	6.604251e+03	-3.321179e-01	7.521592e+00
0.00	4	7.567440e+02	5.511825e+03	6.924188e-03	8.174196e+00
0.10	4	8.154480e+02	6.520552e+03	3.195818e-01	7.502555e+00
