-1.00	2	5.374193e+02	7.851961e+01	-9.293974e-01	1.535730e-02	-9.593571e-01	-2.995968e-02
-0.90	2	4.304591e+02	7.042695e+01	-9.006973e-01	2.425062e-02	-9.412582e-01	-4.056087e-02
-0.80	2	3.675859e+02	5.426018e+01	-8.720664e-01	2.882088e-02	-9.151653e-01	-4.309889e-02
-0.70	2	3.116268e+02	4.634145e+01	-8.291578e-01	3.690620e-02	-8.778762e-01	-4.871843e-02
-0.60	2	2.691606e+02	3.668782e+01	-7.725226e-01	4.991716e-02	-8.253062e-01	-5.278360e-02
-0.50	2	2.344505e+02	3.094477e+01	-7.083130e-01	6.090704e-02	-7.526604e-01	-4.434740e-02
-0.40	2	2.043670e+02	2.273396e+01	-5.997731e-01	7.466088e-02	-6.550659e-01	-5.529278e-02
-0.30	2	1.784307e+02	1.607003e+01	-4.759089e-01	8.968823e-02	-5.288783e-01	-5.296941e-02
-0.20	2	1.654859e+02	1.362476e+01	-3.319217e-01	1.021243e-01	-3.736191e-01	-4.169738e-02
-0.10	2	1.579828e+02	1.187525e+01	-1.624334e-01	1.171299e-01	-1.938939e-01	-3.146045e-02
0.00	2	1.553422e+02	1.124917e+01	3.626543e-03	1.177647e-01	0.000000e+00	-3.626543e-03
0.10	2	1.576478e+02	1.134368e+01	1.757718e-01	1.111209e-01	1.938939e-01	1.812213e-02
0.20	2	1.668902e+02	1.594331e+01	3.224575e-01	1.176033e-01	3.736191e-01	5.116160e-02
0.30	2	1.800319e+02	1.871230e+01	4.768994e-01	9.611731e-02	5.288783e-01	5.197890e-02
0.40	2	2.039650e+02	2.426403e+01	6.092008e-01	7.660256e-02	6.550659e-01	4.586509e-02
0.50	2	2.239056e+02	3.072493e+01	6.831525e-01	6.743098e-02	7.526604e-01	6.950794e-02
0.60	2	2.656238e+02	3.952170e+01	7.714026e-01	5.337718e-02	8.253062e-01	5.390365e-02
0.70	2	3.145717e+02	4.825387e+01	8.322042e-01	3.754114e-02	8.778762e-01	4.567205e-02
0.80	2	3.719473e+02	6.312085e+01	8.718312e-01	3.587503e-02	9.151653e-01	4.333415e-02
0.90	2	4.389880e+02	6.296552e+01	9.039709e-01	1.954322e-02	9.412582e-01	3.728731e-02
1.00	2	5.129694e+02	7.784730e+01	9.253578e-01	1.501201e-02	9.593571e-01	3.399928e-02
-1.00	3	5.186184e+03	1.262155e+03	-9.882123e-01	4.234835e-03	-9.888648e-01	-6.524216e-04
-0.90	3	3.857616e+03	9.620937e+02	-9.821644e-01	6.052625e-03	-9.831642e-01	-9.997322e-04
-0.80	3	2.939790e+03	7.802318e+02	-9.726443e-01	9.954825e-03	-9.737250e-01	-1.080701e-03
-0.70	3	2.016008e+03	5.498189e+02	-9.510858e-01	2.111447e-02	-9.578642e-01	-6.778369e-03
-0.60	3	1.574089e+03	3.855653e+02	-9.250454e-01	2.609663e-02	-9.310423e-01	-5.996981e-03
-0.50	3	1.221341e+03	2.811838e+02	-8.795984e-01	4.223804e-02	-8.858727e-01	-6.274291e-03
-0.40	3	9.608738e+02	2.404378e+02	-8.045792e-01	8.822991e-02	-8.111969e-01	-6.617643e-03
-0.30	3	7.517234e+02	1.450550e+02	-6.915279e-01	1.071744e-01	-6.924369e-01	-9.090312e-04
-0.20	3	6.073674e+02	1.290232e+02	-4.834063e-01	1.450072e-01	-5.157741e-01	-3.236779e-02
-0.10	3	5.285366e+02	8.848074e+01	-2.819817e-01	1.931863e-01	-2.783627e-01	3.619063e-03
0.00	3	5.279548e+02	7.882601e+01	2.096246e-02	1.758971e-01	0.000000e+00	-2.096246e-02
0.10	3	5.735326e+02	1.019800e+02	2.736539e-01	1.794558e-01	2.783627e-01	4.708778e-03
0.20	3	6.227382e+02	1.120445e+02	5.025375e-01	1.525754e-01	5.157741e-01	1.323663e-02
0.30	3	7.523078e+02	1.653680e+02	6.789026e-01	1.166008e-01	6.924369e-01	1.353434e-02
0.40	3	9.268032e+02	2.467022e+02	7.975818e-01	7.047447e-02	8.111969e-01	1.361508e-02
0.50	3	1.239139e+03	2.783490e+02	8.829543e-01	4.409539e-02	8.858727e-01	2.918333e-03
0.60	3	1.556711e+03	3.981210e+02	9.230593e-01	3.003886e-02	9.310423e-01	7.983030e-03
