# Lam=   8.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=   2.470795e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.363935e+01
   5.430679e-03     6.171602e-03    -1.363179e+01
   1.339192e-02     9.763085e-03    -1.359212e+01
   2.498665e-02     1.344409e-02    -1.347559e+01
   4.032131e-02     1.724882e-02    -1.322022e+01
   5.953770e-02     2.121387e-02    -1.275593e+01
   8.281556e-02     2.537857e-02    -1.202364e+01
   1.103756e-01     2.978566e-02    -1.100174e+01
   1.424833e-01     3.448206e-02    -9.727456e+00
   1.794534e-01     3.951966e-02    -8.296268e+00
   2.216555e-01     4.495631e-02    -6.833831e+00
   2.695205e-01     5.085679e-02    -5.456289e+00
   3.235479e-01     5.729403e-02    -4.242106e+00
   3.843148e-01     6.435029e-02    -3.225762e+00
   4.524857e-01     7.211852e-02    -2.407375e+00
   5.288240e-01     8.070371e-02    -1.767093e+00
   6.142047e-01     9.022424e-02    -1.276994e+00
   7.096284e-01     1.008130e-01    -9.084376e-01
   8.162359e-01     1.126180e-01    -6.356145e-01
   9.353242e-01     1.258027e-01    -4.367537e-01
   1.068360e+00     1.405442e-01    -2.941427e-01
   1.216994e+00     1.570295e-01    -1.936784e-01
   1.383064e+00     1.754490e-01    -1.243001e-01
   1.568597e+00     1.959830e-01    -7.745046e-02
   1.775786e+00     2.187815e-01    -4.660733e-02
   2.006945e+00     2.439312e-01    -2.688441e-02
   2.264425e+00     2.714059e-01    -1.469387e-02
   2.550465e+00     3.009948e-01    -7.460572e-03
   2.866959e+00     3.322020e-01    -3.382835e-03
   3.215110e+00     3.641141e-01    -1.235490e-03
   3.594933e+00     3.952382e-01    -2.119504e-04
   4.004585e+00     4.233280e-01     1.988593e-04
   4.439540e+00     4.452405e-01     3.056000e-04
   4.891658e+00     4.569019e-01     2.830520e-04
   5.348327e+00     4.535043e-01     2.213883e-04
   5.791978e+00     4.300682e-01     1.607149e-04
   6.200380e+00     3.824549e-01     1.143400e-04
   6.548147e+00     3.087405e-01     8.337443e-05
   6.809664e+00     2.105862e-01     6.488934e-05
   6.963154e+00     9.411570e-02     5.574723e-05
   7.096200e+00     2.465961e-01     4.874172e-05
   7.504393e+00     5.684200e-01     3.181833e-05
   8.228718e+00     8.774087e-01     1.421697e-05
   9.252362e+00     1.165874e+00     4.144398e-06
   1.055135e+01     1.427022e+00     7.576967e-07
   1.209525e+01     1.654723e+00     8.734325e-08
   1.384786e+01     1.843641e+00     7.113956e-09
   1.576811e+01     1.989346e+00     4.997608e-10
   1.781100e+01     2.088422e+00     3.206992e-11
   1.992863e+01     2.138547e+00     1.768600e-12
   2.207137e+01     2.138547e+00     8.644141e-14
   2.418900e+01     2.088422e+00     4.187923e-15
   2.623189e+01     1.989346e+00     2.245946e-16
   2.815214e+01     1.843641e+00     1.432805e-17
   2.990475e+01     1.654723e+00     1.146758e-18
   3.144865e+01     1.427022e+00     1.218868e-19
   3.274764e+01     1.165874e+00     1.825455e-20
   3.377128e+01     8.774087e-01     4.060258e-21
   3.449561e+01     5.684200e-01     1.397303e-21
   3.490380e+01     2.465961e-01     7.652218e-22
