# Lam=   9.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=   2.786520e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.364627e+01
   5.430679e-03     6.171602e-03    -1.363872e+01
   1.339192e-02     9.763085e-03    -1.359902e+01
   2.498665e-02     1.344409e-02    -1.348242e+01
   4.032131e-02     1.724882e-02    -1.322690e+01
   5.953770e-02     2.121387e-02    -1.276234e+01
   8.281556e-02     2.537857e-02    -1.202963e+01
   1.103756e-01     2.978566e-02    -1.100714e+01
   1.424833e-01     3.448206e-02    -9.732121e+00
   1.794534e-01     3.951966e-02    -8.300105e+00
   2.216555e-01     4.495631e-02    -6.836823e+00
   2.695205e-01     5.085679e-02    -5.458485e+00
   3.235479e-01     5.729403e-02    -4.243601e+00
   3.843148e-01     6.435029e-02    -3.226671e+00
   4.524857e-01     7.211852e-02    -2.407813e+00
   5.288240e-01     8.070371e-02    -1.767165e+00
   6.142047e-01     9.022424e-02    -1.276787e+00
   7.096284e-01     1.008130e-01    -9.080237e-01
   8.162359e-01     1.126180e-01    -6.350508e-01
   9.353242e-01     1.258027e-01    -4.360853e-01
   1.068360e+00     1.405442e-01    -2.934049e-01
   1.216994e+00     1.570295e-01    -1.928990e-01
   1.383064e+00     1.754490e-01    -1.235009e-01
   1.568597e+00     1.959830e-01    -7.664959e-02
   1.775786e+00     2.187815e-01    -4.581962e-02
   2.006945e+00     2.439312e-01    -2.612281e-02
   2.264425e+00     2.714059e-01    -1.396994e-02
   2.550465e+00     3.009948e-01    -6.784846e-03
   2.866959e+00     3.322020e-01    -2.764727e-03
   3.215110e+00     3.641141e-01    -6.829179e-04
   3.594933e+00     3.952382e-01     2.693755e-04
   4.004585e+00     4.233280e-01     6.062886e-04
   4.439540e+00     4.452405e-01     6.402511e-04
   4.891658e+00     4.569019e-01     5.500392e-04
   5.348327e+00     4.535043e-01     4.293106e-04
   5.791978e+00     4.300682e-01     3.204281e-04
   6.200380e+00     3.824549e-01     2.373802e-04
   6.548147e+00     3.087405e-01     1.805818e-04
   6.809664e+00     2.105862e-01     1.456502e-04
   6.963154e+00     9.411570e-02     1.279495e-04
   7.096200e+00     2.465961e-01     1.141366e-04
   7.504393e+00     5.684200e-01     7.954639e-05
   8.228718e+00     8.774087e-01     4.042541e-05
   9.252362e+00     1.165874e+00     1.444928e-05
   1.055135e+01     1.427022e+00     3.503973e-06
   1.209525e+01     1.654723e+00     5.649638e-07
   1.384786e+01     1.843641e+00     6.238864e-08
   1.576811e+01     1.989346e+00     5.350075e-09
   1.781100e+01     2.088422e+00     4.247007e-10
   1.992863e+01     2.138547e+00     3.286595e-11
   2.207137e+01     2.138547e+00     2.390472e-12
   2.418900e+01     2.088422e+00     1.676543e-13
   2.623189e+01     1.989346e+00     1.235320e-14
   2.815214e+01     1.843641e+00     1.050021e-15
   2.990475e+01     1.654723e+00     1.106711e-16
   3.144865e+01     1.427022e+00     1.523046e-17
   3.274764e+01     1.165874e+00     2.857296e-18
   3.377128e+01     8.774087e-01     7.603269e-19
   3.449561e+01     5.684200e-01     2.969623e-19
   3.490380e+01     2.465961e-01     1.745928e-19
