# Lam=   1.000000e+03  A=  -1.544435e-01  mb=   1.380000e+02 C0=   3.030801e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.365169e+01
   5.430679e-03     6.171602e-03    -1.364413e+01
   1.339192e-02     9.763085e-03    -1.360441e+01
   2.498665e-02     1.344409e-02    -1.348776e+01
   4.032131e-02     1.724882e-02    -1.323213e+01
   5.953770e-02     2.121387e-02    -1.276736e+01
   8.281556e-02     2.537857e-02    -1.203432e+01
   1.103756e-01     2.978566e-02    -1.101136e+01
   1.424833e-01     3.448206e-02    -9.735765e+00
   1.794534e-01     3.951966e-02    -8.303101e+00
   2.216555e-01     4.495631e-02    -6.839157e+00
   2.695205e-01     5.085679e-02    -5.460196e+00
   3.235479e-01     5.729403e-02    -4.244762e+00
   3.843148e-01     6.435029e-02    -3.227373e+00
   4.524857e-01     7.211852e-02    -2.408147e+00
   5.288240e-01     8.070371e-02    -1.767210e+00
   6.142047e-01     9.022424e-02    -1.276613e+00
   7.096284e-01     1.008130e-01    -9.076867e-01
   8.162359e-01     1.126180e-01    -6.345954e-01
   9.353242e-01     1.258027e-01    -4.355463e-01
   1.068360e+00     1.405442e-01    -2.928096e-01
   1.216994e+00     1.570295e-01    -1.922687e-01
   1.383064e+00     1.754490e-01    -1.228525e-01
   1.568597e+00     1.959830e-01    -7.599632e-02
   1.775786e+00     2.187815e-01    -4.517263e-02
   2.006945e+00     2.439312e-01    -2.549159e-02
   2.264425e+00     2.714059e-01    -1.336299e-02
   2.550465e+00     3.009948e-01    -6.209974e-03
   2.866959e+00     3.322020e-01    -2.229184e-03
   3.215110e+00     3.641141e-01    -1.932119e-04
   3.594933e+00     3.952382e-01     7.078915e-04
   4.004585e+00     4.233280e-01     9.900215e-04
   4.439540e+00     4.452405e-01     9.680146e-04
   4.891658e+00     4.569019e-01     8.235157e-04
   5.348327e+00     4.535043e-01     6.530911e-04
   5.791978e+00     4.300682e-01     5.015111e-04
   6.200380e+00     3.824549e-01     3.842355e-04
   6.548147e+00     3.087405e-01     3.020990e-04
   6.809664e+00     2.105862e-01     2.503407e-04
   6.963154e+00     9.411570e-02     2.236181e-04
   7.096200e+00     2.465961e-01     2.024774e-04
   7.504393e+00     5.684200e-01     1.480995e-04
   8.228718e+00     8.774087e-01     8.269961e-05
   9.252362e+00     1.165874e+00     3.431737e-05
   1.055135e+01     1.427022e+00     1.027962e-05
   1.209525e+01     1.654723e+00     2.171018e-06
   1.384786e+01     1.843641e+00     3.228419e-07
   1.576811e+01     1.989346e+00     3.562552e-08
   1.781100e+01     2.088422e+00     3.335932e-09
   1.992863e+01     2.138547e+00     3.086910e-10
   2.207137e+01     2.138547e+00     2.942351e-11
   2.418900e+01     2.088422e+00     2.828068e-12
   2.623189e+01     1.989346e+00     2.806530e-13
   2.815214e+01     1.843641e+00     3.075149e-14
   2.990475e+01     1.654723e+00     4.012472e-15
   3.144865e+01     1.427022e+00     6.643931e-16
   3.274764e+01     1.165874e+00     1.463796e-16
   3.377128e+01     8.774087e-01     4.445427e-17
   3.449561e+01     5.684200e-01     1.912184e-17
   3.490380e+01     2.465961e-01     1.188245e-17
