# Lam=   1.100000e+03  A=  -1.544435e-01  mb=   1.380000e+02 C0=   3.239034e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.365585e+01
   5.430679e-03     6.171602e-03    -1.364829e+01
   1.339192e-02     9.763085e-03    -1.360855e+01
   2.498665e-02     1.344409e-02    -1.349187e+01
   4.032131e-02     1.724882e-02    -1.323614e+01
   5.953770e-02     2.121387e-02    -1.277121e+01
   8.281556e-02     2.537857e-02    -1.203791e+01
   1.103756e-01     2.978566e-02    -1.101460e+01
   1.424833e-01     3.448206e-02    -9.738560e+00
   1.794534e-01     3.951966e-02    -8.305397e+00
   2.216555e-01     4.495631e-02    -6.840942e+00
   2.695205e-01     5.085679e-02    -5.461501e+00
   3.235479e-01     5.729403e-02    -4.245644e+00
   3.843148e-01     6.435029e-02    -3.227901e+00
   4.524857e-01     7.211852e-02    -2.408390e+00
   5.288240e-01     8.070371e-02    -1.767231e+00
   6.142047e-01     9.022424e-02    -1.276465e+00
   7.096284e-01     1.008130e-01    -9.074127e-01
   8.162359e-01     1.126180e-01    -6.342295e-01
   9.353242e-01     1.258027e-01    -4.351152e-01
   1.068360e+00     1.405442e-01    -2.923343e-01
   1.216994e+00     1.570295e-01    -1.917652e-01
   1.383064e+00     1.754490e-01    -1.223334e-01
   1.568597e+00     1.959830e-01    -7.547163e-02
   1.775786e+00     2.187815e-01    -4.465050e-02
   2.006945e+00     2.439312e-01    -2.497894e-02
   2.264425e+00     2.714059e-01    -1.286595e-02
   2.550465e+00     3.009948e-01    -5.734219e-03
   2.866959e+00     3.322020e-01    -1.780070e-03
   3.215110e+00     3.641141e-01     2.242646e-04
   3.594933e+00     3.952382e-01     1.089321e-03
   4.004585e+00     4.233280e-01     1.331977e-03
   4.439540e+00     4.452405e-01     1.268548e-03
   4.891658e+00     4.569019e-01     1.082611e-03
   5.348327e+00     4.535043e-01     8.729143e-04
   5.791978e+00     4.300682e-01     6.863045e-04
   6.200380e+00     3.824549e-01     5.398514e-04
   6.548147e+00     3.087405e-01     4.353164e-04
   6.809664e+00     2.105862e-01     3.682170e-04
   6.963154e+00     9.411570e-02     3.330872e-04
   7.096200e+00     2.465961e-01     3.050121e-04
   7.504393e+00     5.684200e-01     2.313508e-04
   8.228718e+00     8.774087e-01     1.386439e-04
   9.252362e+00     1.165874e+00     6.435480e-05
   1.055135e+01     1.427022e+00     2.262897e-05
   1.209525e+01     1.654723e+00     5.903887e-06
   1.384786e+01     1.843641e+00     1.131153e-06
   1.576811e+01     1.989346e+00     1.620145e-07
   1.781100e+01     2.088422e+00     1.864558e-08
   1.992863e+01     2.138547e+00     1.973572e-09
   2.207137e+01     2.138547e+00     2.181122e-10
   2.418900e+01     2.088422e+00     2.598867e-11
   2.623189e+01     1.989346e+00     3.305639e-12
   2.815214e+01     1.843641e+00     4.590330e-13
   2.990475e+01     1.654723e+00     7.336111e-14
   3.144865e+01     1.427022e+00     1.431809e-14
   3.274764e+01     1.165874e+00     3.593393e-15
   3.377128e+01     8.774087e-01     1.206245e-15
   3.449561e+01     5.684200e-01     5.569756e-16
   3.490380e+01     2.465961e-01     3.603325e-16
