# Lam=   5.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=  -4.221894e-04 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.362060e+01
   5.430679e-03     6.171602e-03    -1.361305e+01
   1.339192e-02     9.763085e-03    -1.357344e+01
   2.498665e-02     1.344409e-02    -1.345710e+01
   4.032131e-02     1.724882e-02    -1.320212e+01
   5.953770e-02     2.121387e-02    -1.273856e+01
   8.281556e-02     2.537857e-02    -1.200742e+01
   1.103756e-01     2.978566e-02    -1.098712e+01
   1.424833e-01     3.448206e-02    -9.714837e+00
   1.794534e-01     3.951966e-02    -8.285892e+00
   2.216555e-01     4.495631e-02    -6.825746e+00
   2.695205e-01     5.085679e-02    -5.450362e+00
   3.235479e-01     5.729403e-02    -4.238077e+00
   3.843148e-01     6.435029e-02    -3.223319e+00
   4.524857e-01     7.211852e-02    -2.406204e+00
   5.288240e-01     8.070371e-02    -1.766911e+00
   6.142047e-01     9.022424e-02    -1.277560e+00
   7.096284e-01     1.008130e-01    -9.095544e-01
   8.162359e-01     1.126180e-01    -6.371244e-01
   9.353242e-01     1.258027e-01    -4.385312e-01
   1.068360e+00     1.405442e-01    -2.960884e-01
   1.216994e+00     1.570295e-01    -1.957127e-01
   1.383064e+00     1.754490e-01    -1.263582e-01
   1.568597e+00     1.959830e-01    -7.947906e-02
   1.775786e+00     2.187815e-01    -4.856086e-02
   2.006945e+00     2.439312e-01    -2.872359e-02
   2.264425e+00     2.714059e-01    -1.638474e-02
   2.550465e+00     3.009948e-01    -8.974836e-03
   2.866959e+00     3.322020e-01    -4.699201e-03
   3.215110e+00     3.641141e-01    -2.341717e-03
   3.594933e+00     3.952382e-01    -1.106909e-03
   4.004585e+00     4.233280e-01    -4.958958e-04
   4.439540e+00     4.452405e-01    -2.113574e-04
   4.891658e+00     4.569019e-01    -8.666737e-05
   5.348327e+00     4.535043e-01    -3.493424e-05
   5.791978e+00     4.300682e-01    -1.431946e-05
   6.200380e+00     3.824549e-01    -6.250178e-06
   6.548147e+00     3.087405e-01    -3.068127e-06
   6.809664e+00     2.105862e-01    -1.791355e-06
   6.963154e+00     9.411570e-02    -1.304836e-06
   7.096200e+00     2.465961e-01    -9.908546e-07
   7.504393e+00     5.684200e-01    -4.245820e-07
   8.228718e+00     8.774087e-01    -9.360420e-08
   9.252362e+00     1.165874e+00    -1.091554e-08
   1.055135e+01     1.427022e+00    -7.004778e-10
   1.209525e+01     1.654723e+00    -2.575723e-11
   1.384786e+01     1.843641e+00    -5.728214e-13
   1.576811e+01     1.989346e+00    -8.368066e-15
   1.781100e+01     2.088422e+00    -8.838791e-17
   1.992863e+01     2.138547e+00    -7.457683e-19
   2.207137e+01     2.138547e+00    -5.617514e-21
   2.418900e+01     2.088422e+00    -4.251802e-23
   2.623189e+01     1.989346e+00    -3.637358e-25
   2.815214e+01     1.843641e+00    -3.952863e-27
   2.990475e+01     1.654723e+00    -6.119288e-29
   3.144865e+01     1.427022e+00    -1.504476e-30
   3.274764e+01     1.165874e+00    -6.489609e-32
   3.377128e+01     8.774087e-01    -5.358096e-33
   3.449561e+01     5.684200e-01    -9.088262e-34
   3.490380e+01     2.465961e-01    -3.332248e-34
